# confidence = 1 - 10^(log10_pvalue)
# matched = confidence > threshold
# threshold = 0.95
index,filename,carrier_name,R,log10_pvalue,confidence,matched
61,"0_'attack'_ 'rotation', 'angle'_ 25.png",carrier_0bit_2026_Watermark,1310769.375,-31.12522446437987,1.0,True
62,"0_'attack'_ 'rotation', 'angle'_ 30.png",carrier_0bit_2026_Watermark,1282462.5,-29.075449435953114,1.0,True
63,"0_'attack'_ 'rotation', 'angle'_ 35.png",carrier_0bit_2026_Watermark,1057393.5,-27.827860533279303,1.0,True
64,"0_'attack'_ 'rotation', 'angle'_ 40.png",carrier_0bit_2026_Watermark,1068383.25,-28.011999845692273,1.0,True
65,"0_'attack'_ 'rotation', 'angle'_ 5.png",carrier_0bit_2026_Watermark,2274773.75,-36.94947957958421,1.0,True
66,0_out.png,carrier_0bit_2026_Watermark,11530438.0,-68.82598951762714,1.0,True
67,1_out.png,carrier_0bit_2026_Watermark,4554893.0,-106.65795830640825,1.0,True
68,2_out.png,carrier_0bit_2026_Watermark,24935668.0,-43.811791220963,1.0,True
69,3_out.png,carrier_0bit_2026_Watermark,4915657.5,-106.46903809541809,1.0,True
70,4_out.png,carrier_0bit_2026_Watermark,11042298.0,-69.0708695683613,1.0,True
71,5_out.png,carrier_0bit_2026_Watermark,3646948.0,-74.32347164981358,1.0,True
72,6_out.png,carrier_0bit_2026_Watermark,1857522.125,-37.8081191336656,1.0,True
73,7_out.png,carrier_0bit_2026_Watermark,7999140.0,-52.54134382545385,1.0,True
74,8_out.png,carrier_0bit_2026_Watermark,4398267.0,-110.57882938121007,1.0,True
4,"0_'attack'_ 'blur', 'kernel_size'_ 19.png",carrier_0bit_2026_Watermark,546403.4375,-15.568258975596338,0.9999999999999998,True
40,"0_'attack'_ 'jpeg', 'quality'_ 60.png",carrier_0bit_2026_Watermark,429410.5,-15.644862644149379,0.9999999999999998,True
14,"0_'attack'_ 'center_crop', 'scale'_ 0.2.png",carrier_0bit_2026_Watermark,1254112.625,-12.45565754283263,0.9999999999996497,True
39,"0_'attack'_ 'jpeg', 'quality'_ 50.png",carrier_0bit_2026_Watermark,211664.0,-10.861446928380179,0.9999999999862421,True
51,"0_'attack'_ 'resize', 'scale'_ 0.5.png",carrier_0bit_2026_Watermark,275166.46875,-10.383053555768907,0.9999999999586051,True
38,"0_'attack'_ 'jpeg', 'quality'_ 40.png",carrier_0bit_2026_Watermark,115413.375,-8.664876070621913,0.9999999978366643,True
13,"0_'attack'_ 'center_crop', 'scale'_ 0.1.png",carrier_0bit_2026_Watermark,578057.875,-7.710838365260703,0.9999999805391576,True
37,"0_'attack'_ 'jpeg', 'quality'_ 30.png",carrier_0bit_2026_Watermark,7483.890625,-6.189338034157378,0.9999993533608933,True
50,"0_'attack'_ 'resize', 'scale'_ 0.4.png",carrier_0bit_2026_Watermark,-194482.25,-3.7864375427551398,0.9998364831707123,True
46,0_'attack'_ 'overlay_onto_screenshot'.png,carrier_0bit_2026_Watermark,-17824.94140625,-3.1194153030555696,0.999240400453213,True
36,"0_'attack'_ 'jpeg', 'quality'_ 20.png",carrier_0bit_2026_Watermark,-147345.609375,-2.4780462798399263,0.996673758941069,True
49,"0_'attack'_ 'resize', 'scale'_ 0.30000000000000004.png",carrier_0bit_2026_Watermark,-390498.8125,-2.061686815271848,0.9913241270265535,True
42,"0_'attack'_ 'jpeg', 'quality'_ 80.png",carrier_0bit_test,-266239.5,-0.9606918020664516,0.8905267029913623,False
34,"0_'attack'_ 'jpeg', 'quality'_ 10.png",carrier_0bit_2026_Watermark,-209152.5625,-0.7953503342667958,0.8398047384925564,False
40,"0_'attack'_ 'jpeg', 'quality'_ 60.png",carrier_0bit_test,-221490.4375,-0.7694674374526118,0.8299672563924829,False
67,1_out.png,carrier_0bit_test,-250176.421875,-0.625355389145137,0.7630566028279151,False
4,"0_'attack'_ 'blur', 'kernel_size'_ 19.png",carrier_0bit_test,-291852.4375,-0.5895895300626439,0.7427173679905446,False
38,"0_'attack'_ 'jpeg', 'quality'_ 40.png",carrier_0bit_test,-223612.78125,-0.525128502758491,0.7015500590902606,False
3,"0_'attack'_ 'blur', 'kernel_size'_ 17.png",carrier_0bit_test,-329837.71875,-0.5100840309852033,0.691030244625209,False
41,"0_'attack'_ 'jpeg', 'quality'_ 70.png",carrier_0bit_test,-249439.53125,-0.5080604147567264,0.6895872257485273,False
69,3_out.png,carrier_0bit_test,-275332.25,-0.4964970182151341,0.681211253693883,False
53,"0_'attack'_ 'resize', 'scale'_ 0.7000000000000001.png",carrier_0bit_test,-384646.09375,-0.47653800714308975,0.6662187068756601,False
68,2_out.png,carrier_0bit_test,-3512207.75,-0.43436426296588687,0.6321796637841526,False
23,"0_'attack'_ 'contrast', 'contrast_factor'_ 0.0.png",carrier_0bit_2026_Watermark,-42115.71875,-0.4274950138798106,0.6263155843844344,False
43,"0_'attack'_ 'jpeg', 'quality'_ 90.png",carrier_0bit_test,-412882.59375,-0.42120686030321197,0.6208656448340217,False
39,"0_'attack'_ 'jpeg', 'quality'_ 50.png",carrier_0bit_test,-228046.75,-0.40351861078154755,0.6051052234032113,False
46,0_'attack'_ 'overlay_onto_screenshot'.png,carrier_0bit_test,-32986.5,-0.3908145899209318,0.5933831139940098,False
36,"0_'attack'_ 'jpeg', 'quality'_ 20.png",carrier_0bit_test,-224305.34375,-0.38349816593152153,0.5864749392989197,False
73,7_out.png,carrier_0bit_test,-938214.375,-0.29124041722941174,0.48860134347915296,False
28,"0_'attack'_ 'hue', 'hue_factor'_ -0.25.png",carrier_0bit_test,-399765.125,-0.28910055465951173,0.4860753540761651,False
64,"0_'attack'_ 'rotation', 'angle'_ 40.png",carrier_0bit_test,-259560.796875,-0.2792132298135806,0.47424093406556267,False
70,4_out.png,carrier_0bit_test,-972915.625,-0.2768234552776917,0.4713398866754116,False
74,8_out.png,carrier_0bit_test,-244093.171875,-0.2690958945685024,0.461849057239752,False
19,"0_'attack'_ 'center_crop', 'scale'_ 0.7000000000000001.png",carrier_0bit_test,-603744.3125,-0.26388367726135153,0.455351486398342,False
37,"0_'attack'_ 'jpeg', 'quality'_ 30.png",carrier_0bit_test,-211292.640625,-0.26020586876291885,0.4507195634597151,False
5,"0_'attack'_ 'blur', 'kernel_size'_ 3.png",carrier_0bit_test,-869577.5,-0.25981241795769117,0.4502217151939082,False
2,"0_'attack'_ 'blur', 'kernel_size'_ 15.png",carrier_0bit_test,-371333.5,-0.2543616970790162,0.443278103517434,False
47,"0_'attack'_ 'resize', 'scale'_ 0.1.png",carrier_0bit_2026_Watermark,-1676412.75,-0.25334724902208505,0.4419761630413245,False
72,6_out.png,carrier_0bit_test,-315894.40625,-0.2444414784144621,0.43041502893820904,False
9,"0_'attack'_ 'brightness', 'brightness_factor'_ 0.5.png",carrier_0bit_test,-799493.5625,-0.24394062761385588,0.42975777524965075,False
0,"0_'attack'_ 'blur', 'kernel_size'_ 11.png",carrier_0bit_test,-463095.0625,-0.23955161441473127,0.4239656452225542,False
29,"0_'attack'_ 'hue', 'hue_factor'_ -0.5.png",carrier_0bit_test,-362024.15625,-0.23863336528237403,0.42274642037082943,False
33,"0_'attack'_ 'hue', 'hue_factor'_ 0.5.png",carrier_0bit_test,-364505.28125,-0.2341377896985982,0.4167399774543541,False
6,"0_'attack'_ 'blur', 'kernel_size'_ 5.png",carrier_0bit_test,-753260.3125,-0.2294539287921041,0.4104154814301786,False
50,"0_'attack'_ 'resize', 'scale'_ 0.4.png",carrier_0bit_test,-474836.3125,-0.22479268311706332,0.40405344047262826,False
