video_name,frame_index,encode_type,key_used,decoded_bits,recovered_bits,matched_bits,hamming_distance,similarity,raw_msg,is_exact_match
0_encoded,45,multibit,video_Watermark,10000111001001101110000111001010000010000010011000100010,100001110010011011100001,,28,,,False
0_encoded,46,multibit,video_Watermark,00000111001001101110010111011010100000000010011010110010,000001110010011011100101,,27,,,False
0_encoded,47,multibit,video_Watermark,00000111001001100110001111001101100000110110011010100010,000101110110011001100011,01110010011001010111001101100101110000010110000010101000,18,0.6785714285714286,reserved,False
0_encoded,48,multibit,video_Watermark,00000111001010101000000000010000101001010010011011110111,000001110010101010000000,01100010011110010000000000000000101001010000011001110101,13,0.7678571428571428,by,False
0_encoded,49,multibit,video_Watermark,00000111001010101110010011011000000010100110011111010011,000001110010101011100100,,23,,,False
0_encoded,50,multibit,video_Watermark,10000111001001101110010111011011001010000010011010100010,100001110010011011100101,,29,,,False
0_encoded,51,multibit,video_Watermark,00000111001001101110000111011011001010000010011110100010,000001110010011011100001,,28,,,False
0_encoded,52,multibit,video_Watermark,00000111001011101110110001001000000010010100101111000011,000001110010111011101100,01000001011011000110110000000000010011010101101111001001,13,0.7678571428571428,All,False
0_encoded,53,multibit,video_Watermark,00000111001010101110011101001010101010010010011111110010,000001111010101011000101,01110010011010010110011101101000111111011001100111110110,21,0.625,rights,False
0_encoded,54,multibit,video_Watermark,00010111001001100110001101001101100010110110011010100010,000101110010011001100011,01110010011001010111001101100101110000010110000010101000,17,0.6964285714285714,reserved,False
0_encoded,55,multibit,video_Watermark,00000111001001101110000111011011101010100010011010100011,000001110010011011100001,,28,,,False
0_encoded,56,multibit,video_Watermark,00000111001001101110000111011010101010000010011010100011,000001110010011011100001,,28,,,False
0_encoded,57,multibit,video_Watermark,00000111011010101000000100001000100000010010011000110011,000001110110101010000001,01100010011110010000000000000000101001010000011001110101,16,0.7142857142857143,by,False
0_encoded,58,multibit,video_Watermark,00000111011010101110010101011000000000110010011111010011,000001110110101011100101,01101110011010010111010001110000010100111101000111011001,21,0.625,nitphen,False
0_encoded,59,multibit,video_Watermark,00000111001011000110110001001000000010010101001111000011,000001110010110001101100,01000001011011000110110000000000010011010101101111001001,11,0.8035714285714286,All,False
0_encoded,60,multibit,video_Watermark,10000111001001101110000111011010000010000010011010100011,100001110010011011100001,,29,,,False
0_encoded,61,multibit,video_Watermark,10000111001001101110000111011010100010000010011010100010,100001110010011011100001,,27,,,False
0_encoded,62,multibit,video_Watermark,10000111001010101110001111001010101010000010011111110010,100001110010101011100011,,25,,,False
0_encoded,63,multibit,video_Watermark,10010111001001101110000111001001100000010010011010100010,100101110010011011100001,01110010011001010111001101100101110000010110000010101000,21,0.625,reserved,False
0_encoded,64,multibit,video_Watermark,00000111001000101000000011001001101000000010011011110011,000001110010001010000000,01100010011110010000000000000000101001010000011001110101,20,0.6428571428571428,by,False
0_encoded,65,multibit,video_Watermark,10000111001001101110000111011010101000000010011010110011,100001110010011011100001,,27,,,False
0_encoded,66,multibit,video_Watermark,00000111001001101110000111011010001000000010011010110011,000001110010011011100001,,27,,,False
0_encoded,67,multibit,video_Watermark,00000111011010101110010011011000000000100011011111010011,000001110110101011100100,01101110011010010111010001110000010100111101000111011001,21,0.625,nitphen,False
0_encoded,68,multibit,video_Watermark,00000111001011101110110101001010000010110101011111000010,000001110010111011101101,01000001011011000110110000000000010011010101101111001001,18,0.6785714285714286,All,False
0_encoded,69,multibit,video_Watermark,00000111011010101110011111011010100010010010011111110010,000001110110101011100111,,23,,,False
0_encoded,70,multibit,video_Watermark,10000111001001101110100111011010000010000010011011100011,100001110010011011101001,,27,,,False
