index,filename,raw_msg,encoded_bits,timestamp
0,video_frame,All,01000001011011000110110000000000010011010101101111001001,2026-05-09T19:57:04.962709
0,video_frame,rights,01110010011010010110011101101000111111011001100111110110,2026-05-09T19:57:04.965729
0,video_frame,reserved,01110010011001010111001101100101110000010110000010101000,2026-05-09T19:57:04.965729
0,video_frame,by,01100010011110010000000000000000101001010000011001110101,2026-05-09T19:57:04.968770
0,video_frame,nitphen,01101110011010010111010001110000010100111101000111011001,2026-05-09T19:57:04.970597
